social,giornale,titolo,commento,topic,sentiment,hate_speech
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,Piccolo cratere,POLITICA,negativo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,Ogni prova e dato lascia intendere che sia un razzo della jihad islamica. Però un sacco di gente si affida alle parole di propaganda di hamas. Dopo due giorni bisogna essere in malafede per pensare ancora che sia un bombardamento israeliano.,POLITICA,negativo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,"Ma ci fosse un diamine di sostenitore della Palestina a condannare Hamas!! Meglio continuare ad essere fedeli al proprio credo politico! Hamas non è la Palestina, il terrorismo non è Palestina. Non appoggiate i terroristi",POLITICA,negativo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,Il ministero della sanità controllato da Hamas..dice tutto...,POLITICA,negativo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,Ma seriiii?? ANCORA fate sto giornalismo pietoso!! Mia nonna Ginetta scriverebbe articoli migliori e sarebbe più aggiornata!!!,POLITICA,negativo,offensivo
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,Italia al 57 posto per libertà di informazione nel mondo,POLITICA,positivo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,Che senso ha colpire una piazza? Di solito Israele colpisce i palazzi non i parcheggi......sono armi precisissime....dai video della piazza stento a credere che ci siano 500 morti e 27 ambulanze distrutte....,POLITICA,negativo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,Sembrano i powerpoint che facevo alle medie,POLITICA,negativo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,Si ma sta roba non può aver fatto 600 morti,POLITICA,negativo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,Sono stati loro quelli di Hamas ma fino all’altro ieri tutti pronti ad accusare Israele,POLITICA,negativo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,"La verità non interessa, prevale il pregiudizio comunque. La colpa deve essere di Israele comunque…",POLITICA,negativo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,"Non voglio immaginare il dolore e la sofferenza che provano quei civili in questo momento, bambini innocenti a cui viene strappata la vita in modo disumano, persone che piangono la morte dei propri cari…",POLITICA,negativo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,Non una parola (non dico delle scuse ai lettori eh) sul fatto che per ore abbiate riportato fatti e numeri dettati da Hamas senza scomodarvi a verificare. Alla faccia del fact checking.,POLITICA,negativo,no
Instagram,La Repubblica,Invasione Ucraina,Putin salvaci,POLITICA,negativo,no
Instagram,La Repubblica,Invasione Ucraina,Da fuori Milano?,POLITICA,negativo,no
Instagram,La Repubblica,Invasione Ucraina,"Invece tutte le altre guerre, Siria Yemen Afganistan ecc…vanno bene? Siete solo ipocriti",POLITICA,negativo,offensivo
Instagram,La Repubblica,Invasione Ucraina,Si dovrebbero ripudiare tutte le guerre e chi sottobanco lavora perchè scoppino.,POLITICA,negativo,no
Instagram,La Repubblica,Invasione Ucraina,"Certo che anche l’informazione libera italiana lascia ,a tratti , basiti.",POLITICA,negativo,no
Instagram,La Repubblica,Invasione Ucraina,"Вертикальный хвост российского бомбардировщика Су-34, лежащий в украинском жилом доме. Фото DPA, 10.03.2022. русские, ваш президент Путин контролирует новости и не говорит вам правду.",POLITICA,positivo,no
Instagram,La Repubblica,Invasione Ucraina,"Peccato che queste iniziative non siano state prese quando certi occidentali, con la false scusa delle armi di distruzione di massa, andarono a bombardare l'IRAQ.
Inoltre, c'è da chiedersi dove fosse l'UE quando gli USA hanno STRACCIATO gli accordi di pace di fine guerra fredda siglati con la Russia.
Infatti, l'UE anzichè deplorare il comportamento degli USA e, anzichè sostituire quegli accordi di pace stracciati dagli USA con degli accordi di pace tra UE e Russia, se ne è altamente disinteressata.
Oggi si paga il prezzo di questo menefreghismo. Di questo menefreghismo, assai ipocrita, da 8 anni le popolazioni del Donbass pagano un caro prezzo!",POLITICA,negativo,no
Instagram,La Repubblica,Invasione Ucraina,"Do you know about biological weapon labs in Georgia, Armenia, Ukraine that were founded by US Pentagon ? So many people died from Covid.How many people need to die before everyone will wake up?",POLITICA,positivo,no
Instagram,La Repubblica,Invasione Ucraina,"Вертикальный хвост российского бомбардировщика Су-34, лежащий в украинском жилом доме. Фото DPA, 10.03.2022. русские, ваш президент Путин контролирует новости и не говорит вам правду.",POLITICA,positivo,no
Instagram,La Repubblica,Invasione Ucraina,Merde!!!,POLITICA,positivo,offensivo
Instagram,La Repubblica,Invasione Ucraina, viva la Europa unita,POLITICA,positivo,no
Instagram,La Repubblica,Invasione Ucraina,Ragazzo caldo a 1.5km da te,POLITICA,negativo,no
Instagram,La Repubblica,Invasione Ucraina,"Basta slogan fate qualcosa di vero di tangibile che non sia un tira e molla , fate cio' che farebbero degli uomini che vogliono la pace ,che cosa pensate di salvarvi ?",POLITICA,negativo,no
Instagram,La Repubblica,Invasione Ucraina,I droninche sparavano sui bambini in Siria?tutto bene? Gioppini,POLITICA,negativo,no
Instagram,La Repubblica,Invasione Ucraina,"Hanno colpa in molti di questa sporca guerra, invece di soffiare sul fuoco , gridiamo insieme alla pace!",POLITICA,negativo,no
Instagram,La Repubblica,Invasione Ucraina,Questa non è una guerra nata adesso lo sappiamo tutti che sono  8 anni di guerriglia. L'Europa e lamerica non fanno voluto sentire Putin da anni dicendo che attaccava l'Ucraina  e adesso si parla di pace ipocrisia a mai finire.,POLITICA,negativo,no
Instagram,La Repubblica,Invasione Ucraina,Invece di manifestare per l ucraina perché non manifestiamo per quello che sta succedendo in Italia ci stanno affamando tra un po' anche l'aria ci faranno pagare,POLITICA,negativo,no
Instagram,La Repubblica,Invasione Ucraina,": UE ? Mentalità sbagliata, politica sbagliata.  alta finanza :",POLITICA,negativo,no
Instagram,La Repubblica,Invasione Ucraina,Ci sarà anche qualche controparte per rendere il dibattito un po’ più aperto ad altre prospettive?,POLITICA,positivo,no
Instagram,La Repubblica,Invasione Ucraina,"L'Ucraina ha più volte dimostrato la sua appartenenza al mondo democratico. La protezione della democrazia per gli ucraini è di primaria importanza. Oggi l'Ucraina ha bisogno dell'aiuto di altre democrazie per sconfiggere il dittatore di un paese enorme, una minaccia per tutto il mondo. #standwithukraine #stoprussianaggression ",POLITICA,negativo,no
Instagram,La Repubblica,Invasione Ucraina,"Il sovranismo antieuropeista è il nazifascismo dei nostri tempi. Putin prima o poi dovrà essere processato per crimini contro l'umanità, e questo già DECENNI PRIMA dell'invasione dellUcraina eh. Qualcuno lo dica anche ai complici sovranisti Salvini e Meloni.",POLITICA,negativo,no
Instagram,La Repubblica,Invasione Ucraina,El,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Basta guerre,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,"È la risposta all'attacco ucraino al centro amministrativo di Donetsk e ala città di Belgorod, ovviamente questi fatti non sono stati diffusi da voi.",POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Chi ha invaso l'Ucraina?? Risponda Putiniano di cosa nostra !!!!,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Veramente vergognoso. Basta ,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,È la guerra,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,"L'ucraina è stata invasa dalle multinazionali, che ne hanno preso possesso.",POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,"Per carità! Gli mandano le armi per vedere la distribuzione dei edifici e,persone e animali",POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Come si mette fine a sta gierra???avessero trovato prima un accordo in tempj non sospetti .putin non avrebbe invaso  ...zeleschi non ha niente a che fare con la logica politica ..vuole solo riconquistare con le armi...comunque vada prima o poi i danni di sti caprjcci di questo drogato li pagheremo noi...,POLITICA,negativo,offensivo
Facebook,Corriere Della Sera,Invasione Ucraina,caxxate antirusse,POLITICA,negativo,offensivo
Facebook,Corriere Della Sera,Invasione Ucraina,"Basta con la propaganda ! Ieri gli Ucraini hanno bombardato la Russia ( Belgorod) , oggi i Russi bombardano la Ucraina....",POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Se puntate il dito solo su putinnon e usciamo...,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,"Basta con la guerra, con le guerre, con questa roba orribile, vergognosa, terrificante.",POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,biden pagliaccio.....sei soltanto un pupazzo di cartone hai fatto scoppiare una guerra inutile.....,POLITICA,negativo,offensivo
Facebook,Corriere Della Sera,Invasione Ucraina,Baiden e gli usa sono il male assoluto,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Ma perchè non hanno speso una righa nel 2014 ..,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Lorenzo ci informa che i Russi hanno perso la guerra ... Come mai bombardano se hanno perso ????,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Mandiamo armi..indebitiamoci per la guerra...,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Quando protesteremo contro la nato e contro le politiche di wuscinton...,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,forza Putin!! finisci presto il lavoro!,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,"E una guerra per evitare la guerra nucleare...lo volete capire o no deficenti.l'hanno detto in tuttj i modi.e ancora a raccontare laggressore..se l'ucraina entra nella nato e provasse a riprendersi la crimea militarmente,l'europa si ritroverebbe in guerra contro la sua volontà..guardare in faccia la realtà significa essere putiniani...",POLITICA,negativo,offensivo
Facebook,Corriere Della Sera,Invasione Ucraina,"Comunque vada l'odio  che hanno creato i Russi nel popolo ucraino verso di loro,lo pagheranno caro,molto caro....",POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,"Vai Ucraina, dobbiamo catturare Putin.",POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,"Mandiamo armi potevano evitare il tutto e se ha ragione l'ucraina con il tempo e la furbizia avrebbero risolto diversamente per evitare i morti
Ma chi vogliono prendere in giro tra tutti !",POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Ma è possibile  che  non ci si renda conto dell'operato di zeleschi che spinge dall'inizio alla terza guerra mondiale..questo non capisce niente...,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Catturare putin???,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Come siete ridotti massima di creduloni..vedete sui testi ucraini come è arrivato zeleschi l governo..e perchè...,POLITICA,negativo,offensivo
Facebook,Corriere Della Sera,Invasione Ucraina,Uccidete tutti i soldati Russi. Non fate prigionieri.,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Fatevi una ricerca approfondita .al posto di sentire si prezzolati giornalisti asserviti a woscinton bruxel e alle massonerie mondiali..,POLITICA,negativo,offensivo
Facebook,Corriere Della Sera,Invasione Ucraina,È ora di smetterla.Basta arricchirsi sulla pelle della gente.L' orgoglio è  un' altra cosa.Non vogliamo morire  Pace per tutti.Con il cuore.,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Bonjour depuis l Afrique,POLITICA,positivo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Sul Campo...?,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Qui peux me traduire ici,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,"Rapimenti di bambini Ukro....cosa se ne farebbero i russi,di qualche milione di bambini e donne Ukr??? E chi li dovrebbe mantenere??",POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Ancora ad insistere...,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Giornalisti ???,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Ma perchè non dite perchè si e arrivato a guesto,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Che si può aprre??? Non e azzeccate una..all'inizio putin wra malto terminale,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Non e ha tantissimi??? Ma siete dementi...fermate sta guerra,POLITICA,negativo,offensivo
Facebook,Corriere Della Sera,Invasione Ucraina,"Ricordate quando gli euroidioti al guinzaglio della NATO e USA volevano sanzionare anche l'export del gas russo?
Si cagarono sotto e non lo fecero.
Ora che la Russia ha tagliato le forniture di gas si lamentano, da veri geni del masochismo.
Come bambini deficienti si lagnano e scaricano le loro pesanti frustrazioni sui cittadini incolpevoli.
Cittadini europei è necessario abbandonare Zelensky al suo squallido destino, chiudere le forniture di armi a Zelensky, mantenendo nel contempo gli aiuti umanitari al popolo ucraino.
Europa Unita smetti di essere serva dello zombi americano.
Povera EU ritrova un po' di orgoglio!",POLITICA,negativo,offensivo
Facebook,Corriere Della Sera,Invasione Ucraina,Ancora a sparare minchiate,POLITICA,negativo,inappropriato
Facebook,Corriere Della Sera,Invasione Ucraina,Questo parla di armi...,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Visogna parlare di accordo,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Quando lo capirete sarà troppo tardi,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Ieri zeleschi ha fatto bombardare una città russa...lo capite che ogni volta che urta gli interessi della russia .putin gli fa calare la coda...,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Ditelo,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Se siete liberi,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Tutti i giornali e opinionisti tengono un copione ben preciso,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,Siete propagandisti.non giornalisti,POLITICA,negativo,offensivo
Facebook,Corriere Della Sera,Invasione Ucraina,La verità verrà fuori..e allora sarete derisi,POLITICA,negativo,no
Facebook,Corriere Della Sera,Invasione Ucraina,"Certe volte penso che certe persone non esistano, invece esistono, e tu sei una di queste",POLITICA,positivo,no
Facebook,FanPage,Attacco di Hamas a Israele,Flower of filastin,POLITICA,positivo,no
Facebook,FanPage,Attacco di Hamas a Israele,Che orrore le guerre.,POLITICA,negativo,no
Facebook,FanPage,Attacco di Hamas a Israele,Incredibile ,POLITICA,positivo,no
Facebook,FanPage,Attacco di Hamas a Israele,La fine.....,POLITICA,negativo,no
Facebook,FanPage,Attacco di Hamas a Israele,Aiuto,POLITICA,negativo,no
Facebook,FanPage,Attacco di Hamas a Israele,Senza fine…,POLITICA,negativo,no
Facebook,FanPage,Attacco di Hamas a Israele,La storia infinita,POLITICA,positivo,no
Facebook,FanPage,Attacco di Hamas a Israele,Ma dico io c'è bisogno di tutto questo.,POLITICA,negativo,no
Facebook,FanPage,Attacco di Hamas a Israele,#FreePalestina ,POLITICA,positivo,no
Facebook,FanPage,Attacco di Hamas a Israele,Peace and Love,POLITICA,positivo,no
Facebook,FanPage,Attacco di Hamas a Israele,Folle!!!,POLITICA,positivo,no
Facebook,FanPage,Attacco di Hamas a Israele,Palestina libera! ,POLITICA,positivo,no
Facebook,FanPage,Attacco di Hamas a Israele, forza Israel,POLITICA,negativo,no
Facebook,FanPage,Attacco di Hamas a Israele,Preghiamo x LA PACE!!.. BASTA GUERRE!!,POLITICA,negativo,no
Facebook,FanPage,Attacco di Hamas a Israele,"Ormai è guerra dappertutto, si salvi chi può",POLITICA,negativo,no
Facebook,FanPage,Attacco di Hamas a Israele,Fatto bene,POLITICA,positivo,no
Facebook,FanPage,Attacco di Hamas a Israele,Si sentiva proprio il bisogno di tutto ciò...,POLITICA,negativo,no
Facebook,FanPage,Attacco di Hamas a Israele,viva palestina,POLITICA,negativo,no
Facebook,FanPage,Attacco di Hamas a Israele,Una guerra che dura da secoli!!!,POLITICA,negativo,no
Facebook,FanPage,Attacco di Hamas a Israele,Una guerra infinita,POLITICA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,"Qui l'ntervista al presidente dell'Ampro, associazione meteo professionisti, Pierluigi Randi larep.it/3pSVdpR",CROANCA,positivo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,"Sono anni che si parla di messa in sicurezza del territorio, devastato dalla cementificazione e dalla mancata manutenzione. Ma i soldi non ci sono. Per le armi e per quella bischerata del ponte di Messina, si. Quindi: basta LACRIME DI COCCODRILLO!!!",CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,La totale assenza di manutenzione e cura del territorio ha moltiplicato gli effetti devastanti.,CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,"al posto di interrogarsi sulle condizioni meteo che han causato un così grande disastro, interroghiamoci anzi interrogate chi doveva metter in sicurezza fiumi e suolo e invece ha rimandato indietro 55 milioni perché non son stati usati… politici e burocrati inetti ed incapaci ",CROANCA,negativo,offensivo
Facebook,La Repubblica,Alluvioni Emilia Romagna,"Questi eventi eccezionali come dicono stanno diventando normalità e di conseguenza devi metterti in sicurezza,non bisogna chiudere la stalla quando i buoi sono già scappati, alla fine di tutto ci rimettono sempre i cittadini.",CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,"Il problema non sono le precipitazioni, è la manutenzione che non viene fatta, hanno restituito 55milioni di euro che l'Europa ci aveva dato per il territorio dandoci un tempo per mettersi in regola e Bonaccini non ha trovato il tempo per fare manutenzione? Il tempo lo devi trovare per il tuo territorio altrimenti ti dimetti, perché l'emergenza sul territorio è da un bel po' che c'è,non è venuta adesso con le piogge. Bisogna fare un' esame  di coscienza e ammettere gli errori perché i cittadini le tasse le hanno sempre pagate e vorrebbero che i loro soldi li spendessero giustamente per ciò che serve sul territorio.",CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,Il gas effetto serra è stato prodotto un centinaio di anni fa e ora ne paghiamo il prezzo.,CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,beh i soldi resi erano per il Po e non per i fiumi di qua della collina... magari.,CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,"Qui in Emilia c'era già stata l'alluvione nel 2014, cosa è stato fatto ?
Manco il la manutenzione questa estate del fiume Secchia ( causa del 2014)
Vista la siccità, era possibile",CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,"Certo è piovuto tantissimo e anche vero che bisogna fare manutenzione  programmata sicuramente non sarebbe un disastro così grande, la piova non è ne di dx ne di sx una cosa deve essere chiara dovete lavorare per i cittadini.",CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,Certo prendersela col clima è più facile che fare manutenzione al territorio...,CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,#ellyschlein assessorA regionalA al Patto per il Clima ,CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,"- Eventi alluvionali ci sono sempre stati? SI
- Vero che casi estremi di questo tipo sono più frequenti? SI
- Vero che se una calamità di questa portata avesse colpito la nostra montagna (non improbabile visto le caratteristiche e storie passate) le conseguenze sarebbero state centinaia di volte più catastrofiche? SI
- Le cementificazione dei territori sono determinanti? SI
- Vero che assistiamo a rapidi cambiamenti climatici? SI
- Ci sono colpe determinanti degli uomini? SI
- La politica ha colpe? SI
- Vero che chi si occupa di politica deve aprire il proprio cervello e cercare rimedi a volte anche con scelte impopolari? SI
- Vero che a la tutela dell'ambiente è oggi una priorità che supera di gran lunga tutte le altre criticità? SI
- Vero che da oggi nell'agenda dei politici tale finalità dev'essere collocata al primo posto? SI
- Vero che che soltanto con decisioni a livello mondiale si può tentare di mettere una pezza a tutto ciò? SI
-Vero che ognuno di noi, però, deve partire dal proprio giardino? SI
- Vero che, però, bisogna dare delle scadenze a tutto ciò? SI",CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,"Ei pidä syyttää muita ilmastokriisi onjokaisen asia,katsotaan peiliin ja  kysytään mitä ontullut tehtyä ja mitä tästä eteenpäin  jatkossa tehdä.",CROANCA,positivo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,"Concordo ma dico anche che tutto questo disastro poteva essere contenuto un po' se non si fosse abbandonato del tutto il territorio boschivo e fluviale, portando avanti cementificazione a go go solo per politiche sbagliate e denaro!",CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,Forza ragazzi!,CROANCA,positivo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,"Alluvione, prepararsi, aumento, benzina/tabacco/autostrade. No extra profitti, loro stipendi/vitalizi/ARMI tutto invariato. P.s. chi legge il titolo, o non vede oltre l' ostacolo, del chi se ne frega, non fumo, non uso l' autostrada, non ho la macchina, se aumenta la benzina, il tabacco, le autostrade, in automatico aumenta comunque tutto ",CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,"È sicuramente colpa del PD, anche degli eventi atmosferici",CROANCA,negativo,no
Facebook,La Repubblica,Alluvioni Emilia Romagna,Paiaz,CROANCA,positivo,no
