social,giornale,titolo,commento,topic,sentiment,hate_speech
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,Non è che siamo tutti stupidi.,CRONACA,negativo,no
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,"Un uomo onesto, libero, di grandi valori ma disinformato su una tragedia?",CRONACA,negativo,no
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,See pinocchio,CRONACA,negativo,no
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,Ridicolo,CRONACA,negativo,no
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,Meglio continuare con il silenzio.,CRONACA,negativo,no
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,Al Processo di Norimberga era molto usata come scusa. Evidentemente dobbiamo ricordarci che un famoso artista merita la nostra stima personale come non più di una qualsiasi società di servizi ,CRONACA,negativo,no
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,non credo,CRONACA,negativo,no
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,Poco credibile!!,CRONACA,negativo,no
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,"Ma chi ci crede  solo vergogna, sindaco  organizzatori, tutto per i maledetti soldi!!",CRONACA,negativo,offensivo
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,Non è una buona motivazione.,CRONACA,positivo,no
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,Ma va a caghèr....,CRONACA,negativo,offensivo
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,"La toppa è peggio del buco. È arrivato a Bologna il giorno prima, impossibile non sapere. Basta con questa storia, rispetto per le vittime.",CRONACA,negativo,no
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,Basta con questa polemica inutile.....,CRONACA,negativo,no
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,Strano dove vive???? Non ne ha parlato nessuno !!! Ma va la dai,CRONACA,negativo,no
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,Poverino....non sapeva,CRONACA,negativo,no
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,"2 poveri,patetici .",CRONACA,negativo,offensivo
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,Assurdo … impossibile che non abbiano saputo .,CRONACA,negativo,no
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,La pezza è peggio del buco. Taci per favore,CRONACA,negativo,offensivo
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,A cazzari,CRONACA,negativo,offensivo
Instagram,La Repubblica, Alluvioni Emilia Romagna,E nessuno non reagisce all’esplosione della diga in Ucraina..,CRONACA,negativo,no
Instagram,La Repubblica, Alluvioni Emilia Romagna,Che dolore queste immagini z Pensare che siamo noi stessi uomini a provocare tutto ciò. ,CRONACA,negativo,no
Instagram,La Repubblica, Alluvioni Emilia Romagna,Un incubo inenarrabile ,CRONACA,negativo,no
Instagram,La Repubblica, Alluvioni Emilia Romagna,"Quanto dolore. Assurdo come ci sia gente che dice che siamo esagerati a parlare di crisi climatica in termini apocalittici. Se queste non sono immagini apocalittiche, non so cosa lo sia.",CRONACA,negativo,no
Instagram,La Repubblica, Alluvioni Emilia Romagna,volete dell'acqua?,CRONACA,negativo,no
Instagram,La Repubblica, Alluvioni Emilia Romagna,Da incubo ,CRONACA,negativo,no
Instagram,La Repubblica, Alluvioni Emilia Romagna,"The salary can fill your stomach, but the side hustle can feed your soul, be a girl who will make money, it doesn't matter how much money you make, what matters is your unique charm",CRONACA,positivo,no
Instagram,La Repubblica, Alluvioni Emilia Romagna,Mamma mia,CRONACA,positivo,no
Instagram,La Repubblica, Alluvioni Emilia Romagna,Raga! Siamo nel tempo della fine! La vogliamo capire sì o no! … sarà sempre peggio ,CRONACA,negativo,no
Instagram,La Repubblica, Alluvioni Emilia Romagna,"Romagna mia! dolce paese meravigliisa popolazione che ha subito la devastazione  di questa alluvione con grande dignità  e forza, con la voglia di farcela, io ringrazio tutti i bellissimi giovani insieme  alla protezione civile che hanno voluto dare un mano per non dar sentire sole le persone che hanno perso tutto!",CRONACA,positivo,no
Instagram,La Repubblica, Alluvioni Emilia Romagna,"Gente bella, gente forte di cuero bello!",CRONACA,positivo,no
Instagram,La Repubblica, Alluvioni Emilia Romagna,E pericolosa..e inquinata.state.all erta vi sono vicina sono di modena vi capisco la situazione e.gravissima,CRONACA,negativo,no
Instagram,La Repubblica, Alluvioni Emilia Romagna,"Risposta per il.mio.viaggio.tour.Quelle parole se hai coraggio dille alle famiglie che hanno perso familiari e non hanno rimasto nulla e non sanno come fare.Concludo spero che a te non succeda mai niente, però a volte invece di commentare con cavolate se taci fai una figura migliore",CRONACA,negativo,no
Instagram,La Repubblica, Alluvioni Emilia Romagna,"Nel tempo si sono alluvionate centinaia di città, paesi, ecc….che si sono spalati il fango dentro le proprie case senza volontari e senza tv. eh però la Romagna….eh però la forza dei romagnoli….basta avete rotto il ",CRONACA,negativo,no
Instagram,La Repubblica, Alluvioni Emilia Romagna,Che disastro..,CRONACA,negativo,no
